date,temperature_C,rainfall_mm,humidity_percent
2024-01-01,14,2.5,71
2024-01-02,15,0.0,69
2024-01-03,14,1.2,73
2024-01-04,13,0.0,75
2024-01-05,12,4.3,78
2024-01-06,16,0.0,65
2024-01-07,17,0.0,63
2024-01-08,18,0.0,60
2024-01-09,19,0.7,58
2024-01-10,20,0.0,55
2024-01-11,21,0.0,51
2024-01-12,22,0.0,50
2024-01-13,23,0.0,48
2024-01-14,24,0.0,46
2024-01-15,25,0.0,45
2024-01-16,26,0.0,43
2024-01-17,27,0.0,42
2024-01-18,28,0.0,40
2024-01-19,29,0.0,39
2024-01-20,30,0.0,38
2024-01-21,31,1.0,41
2024-01-22,28,2.3,46
2024-01-23,27,4.1,48
2024-01-24,24,0.0,50
2024-01-25,22,0.5,51
2024-01-26,21,0.0,52
2024-01-27,18,3.3,55
2024-01-28,17,5.6,58
2024-01-29,19,1.2,60
2024-01-30,20,0.0,58
2024-01-31,22,0.0,56
2024-02-01,23,0.3,53
2024-02-02,24,0.0,50
2024-02-03,25,0.0,47
2024-02-04,27,0.0,45
2024-02-05,28,0.8,44
2024-02-06,29,0.0,42
2024-02-07,30,0.0,41
2024-02-08,31,0.0,39
2024-02-09,32,0.5,38
2024-02-10,33,0.0,37
2024-02-11,34,1.1,39
2024-02-12,33,2.7,41
2024-02-13,31,0.0,45
2024-02-14,30,0.0,47
2024-02-15,28,0.3,50
2024-02-16,26,0.0,53
2024-02-17,24,1.8,56
2024-02-18,23,3.6,59
2024-02-19,21,0.0,61
2024-02-20,20,0.0,63
